areaCode,areaName,areaType,date,hospitalCases,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2023-04-27,5574,52
K02000001,United Kingdom,overview,2023-04-26,6172,61
K02000001,United Kingdom,overview,2023-04-25,5843,61
K02000001,United Kingdom,overview,2023-04-24,5994,49
K02000001,United Kingdom,overview,2023-04-23,5962,73
K02000001,United Kingdom,overview,2023-04-22,5982,55
K02000001,United Kingdom,overview,2023-04-21,6220,83
K02000001,United Kingdom,overview,2023-04-20,6488,72
K02000001,United Kingdom,overview,2023-04-19,7200,81
K02000001,United Kingdom,overview,2023-04-18,6774,67
K02000001,United Kingdom,overview,2023-04-17,6950,65
K02000001,United Kingdom,overview,2023-04-16,6952,79
K02000001,United Kingdom,overview,2023-04-15,6989,70
K02000001,United Kingdom,overview,2023-04-14,7230,80
K02000001,United Kingdom,overview,2023-04-13,7549,91
K02000001,United Kingdom,overview,2023-04-12,8227,76
K02000001,United Kingdom,overview,2023-04-11,7899,75
K02000001,United Kingdom,overview,2023-04-10,8351,74
K02000001,United Kingdom,overview,2023-04-09,7676,70
K02000001,United Kingdom,overview,2023-04-08,7756,84
K02000001,United Kingdom,overview,2023-04-07,7908,94
K02000001,United Kingdom,overview,2023-04-06,8136,103
K02000001,United Kingdom,overview,2023-04-05,8887,66
K02000001,United Kingdom,overview,2023-04-04,8834,99
K02000001,United Kingdom,overview,2023-04-03,8961,87
K02000001,United Kingdom,overview,2023-04-02,8928,78
K02000001,United Kingdom,overview,2023-04-01,8885,75
K02000001,United Kingdom,overview,2023-03-31,9164,75
K02000001,United Kingdom,overview,2023-03-30,9184,108
K02000001,United Kingdom,overview,2023-03-29,10064,95
K02000001,United Kingdom,overview,2023-03-28,9539,113
K02000001,United Kingdom,overview,2023-03-27,9765,98
K02000001,United Kingdom,overview,2023-03-26,9707,86
K02000001,United Kingdom,overview,2023-03-25,9649,115
K02000001,United Kingdom,overview,2023-03-24,9726,113
K02000001,United Kingdom,overview,2023-03-23,9839,108
K02000001,United Kingdom,overview,2023-03-22,10485,102
K02000001,United Kingdom,overview,2023-03-21,9979,128
K02000001,United Kingdom,overview,2023-03-20,9950,97
K02000001,United Kingdom,overview,2023-03-19,9714,91
K02000001,United Kingdom,overview,2023-03-18,9573,98
K02000001,United Kingdom,overview,2023-03-17,9553,111
K02000001,United Kingdom,overview,2023-03-16,9564,103
K02000001,United Kingdom,overview,2023-03-15,10383,106
K02000001,United Kingdom,overview,2023-03-14,9458,94
K02000001,United Kingdom,overview,2023-03-13,9301,96
K02000001,United Kingdom,overview,2023-03-12,8980,101
K02000001,United Kingdom,overview,2023-03-11,8860,100
K02000001,United Kingdom,overview,2023-03-10,8904,93
K02000001,United Kingdom,overview,2023-03-09,8595,94
K02000001,United Kingdom,overview,2023-03-08,9243,94
K02000001,United Kingdom,overview,2023-03-07,8579,91
K02000001,United Kingdom,overview,2023-03-06,8503,90
K02000001,United Kingdom,overview,2023-03-05,8377,97
K02000001,United Kingdom,overview,2023-03-04,8241,100
K02000001,United Kingdom,overview,2023-03-03,8398,79
K02000001,United Kingdom,overview,2023-03-02,8411,102
K02000001,United Kingdom,overview,2023-03-01,8850,83
K02000001,United Kingdom,overview,2023-02-28,8425,74
K02000001,United Kingdom,overview,2023-02-27,8421,79
K02000001,United Kingdom,overview,2023-02-26,8347,85
K02000001,United Kingdom,overview,2023-02-25,8277,77
K02000001,United Kingdom,overview,2023-02-24,8380,81
